route_id,V_kmh,Dpillar,simulation_delay
D10_331,35.0,25.71428571257143,25.714284896850582
D10_331,37.5,23.999999999999996,24.0
D10_331,40.0,22.5,22.5
D10_331,42.5,21.17647059247058,21.176469802856445
D10_331,45.0,19.999999996,20.0
D10_331,47.5,18.947368426105268,18.94736862182617
D10_331,50.0,17.999999999999996,18.0
D10_332,10.0,14.959177215189865,
D10_332,12.5,28.799999996210545,
D10_332,15.0,24.986392405063285,
D10_332,17.5,27.851311030741392,
D10_332,20.0,29.999999999999982,33.0
D10_332,22.5,30.933333325866645,34.66666793823242
D10_332,25.0,26.879999999999985,33.599998474121094
D10_332,27.5,23.56363635927272,29.454545974731445
D10_332,30.0,22.000000004000007,26.0
D10_332,32.5,24.923076922153854,24.923076629638672
D10_332,35.0,27.42857142514286,27.428571701049805
D10_332,37.5,29.59999999600001,29.600000381469727
D10_332,40.0,28.499999999999996,28.5
D10_332,42.5,26.8235294075294,26.823530197143555
D10_332,45.0,25.33333333466665,25.33333396911621
D10_332,47.5,23.99999999999999,24.0
D10_332,50.0,22.79999999999999,22.799999237060547
D10_333,10.0,23.21095890410957,
D10_333,12.5,21.573471894189883,
D10_333,15.0,28.000000001913065,
D10_333,17.5,27.079398070045208,
D10_333,20.0,28.8,33.0
D10_333,22.5,31.066666665333337,34.66666793823242
D10_333,25.0,32.87999999999999,36.0
D10_333,27.5,30.545454550309078,37.09090805053711
D10_333,30.0,27.200000003199985,34.0
D10_333,32.5,24.369230764061523,30.461538314819336
D10_333,35.0,21.94285714011428,27.428571701049805
D10_333,37.5,23.200000004000003,24.799999237060547
D10_333,40.0,25.500000000000004,25.5
D10_333,42.5,27.52941176541177,27.52941131591797
D10_333,45.0,29.3333333324058,29.33333396911621
D10_333,47.5,29.052631573894736,29.052631378173828
D10_333,50.0,27.599999999999987,27.600000381469727
D10_334,10.0,19.482352941176455,
D10_334,12.5,28.799999996210545,
D10_334,15.0,17.58139534883719,
D10_334,17.5,18.318168646769053,
D10_334,20.0,19.800000000000004,33.0
D10_334,22.5,22.533333333066672,26.66666603088379
D10_334,25.0,25.2,26.399999618530277
D10_334,27.5,23.56363636587272,28.363636016845703
D10_334,30.0,22.000000004000007,26.0
D10_334,32.5,24.923076922153854,24.923076629638672
D10_334,35.0,27.42857142514286,27.428571701049805
D10_334,37.5,29.59999999600001,29.600000381469727
D10_334,40.0,28.499999999999996,28.5
D10_334,42.5,26.8235294075294,26.823530197143555
D10_334,45.0,25.33333333466665,25.33333396911621
D10_334,47.5,23.99999999999999,24.0
D10_334,50.0,22.79999999999999,22.799999237060547
D10_H01,10.0,13.37142857142857,
D10_H01,12.5,31.028571428571432,
D10_H01,15.0,27.77142857142855,
D10_H01,17.5,31.73877551020409,
D10_H01,20.0,34.800000000000004,42.0
D10_H01,22.5,28.800000004799998,44.0
D10_H01,25.0,23.99999999999999,36.0
D10_H01,27.5,23.01818181556363,29.454545974731445
D10_H01,30.0,25.19999999280001,28.0
D10_H01,32.5,27.04615385150769,29.538461685180664
D10_H01,35.0,28.628571422742844,30.85714340209961
D10_H01,37.5,28.799999999999983,32.0
D10_H01,40.0,26.399999999999995,33.0
D10_H01,42.5,24.282352947952923,30.352941513061523
D10_H01,45.0,22.400000003199988,28.0
D10_H01,47.5,22.105263159789452,25.894737243652344
D10_H01,50.0,23.999999999999996,24.0
D10_H02,10.0,23.99999999723076,
D10_H02,12.5,23.568273083986725,
D10_H02,15.0,23.43869028869394,
D10_H02,17.5,27.11688311688312,
D10_H02,20.0,28.403999999999986,42.0
D10_H02,22.5,24.69866665973333,33.33333206176758
D10_H02,25.0,27.14880000000001,30.43199920654297
D10_H02,27.5,29.15345454610909,32.029090881347656
D10_H02,30.0,30.82399999543529,33.36000061035156
D10_H02,32.5,28.799999999576457,34.48615264892578
D10_H02,35.0,26.057142859885708,32.57143020629883
D10_H02,37.5,23.680000006399982,29.600000381469727
D10_H02,40.0,21.599999999999987,27.0
D10_H02,42.5,23.294117642117644,24.705883026123047
D10_H02,45.0,25.33333333466667,25.33333396911621
D10_H02,47.5,27.15789473368421,27.157894134521484
D10_H02,50.0,28.79999999999999,28.799999237060547
D10_H03,10.0,23.647058822325253,
D10_H03,12.5,23.089131365745803,
D10_H03,15.0,37.41451102673433,
D10_H03,17.5,35.970555087082325,
D10_H03,20.0,39.996,54.0
D10_H03,22.5,34.48533333066666,42.66666793823242
D10_H03,25.0,29.11679999999999,43.58399963378906
D10_H03,27.5,24.724363635927272,38.18181991577149
D10_H03,30.0,21.06399999679999,32.0
D10_H03,32.5,21.85476923353845,26.769229888916016
D10_H03,35.0,23.807999995199985,26.26285743713379
D10_H03,37.5,25.50080000320001,27.71199989318848
D10_H03,40.0,26.982,28.979999542236328
D10_H03,42.5,28.288941176667656,30.09882354736328
D10_H03,45.0,26.66666667301661,31.093334197998047
D10_H03,47.5,24.757894740884204,30.94736862182617
D10_H03,50.0,23.039999999999992,28.799999237060547
D10_H04,10.0,12.94879721808625,
D10_H04,12.5,25.089418512941155,
D10_H04,15.0,30.21353548118252,
D10_H04,17.5,32.38811388829804,
D10_H04,20.0,35.62799999999999,44.040000915527344
D10_H04,22.5,29.53599999679999,45.33333206176758
D10_H04,25.0,24.662399999999995,37.63199996948242
D10_H04,27.5,20.67490909221818,30.938180923461918
D10_H04,30.0,21.464000000800016,25.36000061035156
D10_H04,32.5,23.59753845987693,25.846153259277344
D10_H04,35.0,25.42628572217141,27.428571701049805
D10_H04,37.5,27.01119999920001,28.799999237060547
D10_H04,40.0,27.215999999999987,30.0
D10_H04,42.5,25.050352947952923,31.058822631835938
D10_H04,45.0,23.12533333226665,28.906665802001957
D10_H04,47.5,21.40294737044209,26.753684997558597
D10_H04,50.0,23.18400000000001,24.81599998474121
D10_H05,10.0,13.608174295165906,
D10_H05,12.5,32.42131984710378,
D10_H05,15.0,27.18405809838864,
D10_H05,17.5,31.062882042166557,
D10_H05,20.0,33.971999999999994,42.41999816894531
D10_H05,22.5,28.064000003199983,42.186668395996094
D10_H05,25.0,24.88319999999999,34.36800003051758
D10_H05,27.5,27.09381818683636,30.545454025268555
D10_H05,30.0,28.935999996800007,32.0
D10_H05,32.5,30.494769232164817,33.230770111083984
D10_H05,35.0,30.610285710171425,34.28571319580078
D10_H05,37.5,27.929600003199997,34.9119987487793
D10_H05,40.0,25.58399999999999,31.979999542236328
D10_H05,42.5,23.514352938352925,29.392940521240234
D10_H05,45.0,21.67466667413332,27.093334197998047
D10_H05,47.5,22.96421052063157,25.035789489746094
D10_H05,50.0,24.81600000000001,24.81599998474121
D10_H06,10.0,12.746228760818678,
D10_H06,12.5,27.21240966431097,
D10_H06,15.0,28.322724291729266,
D10_H06,17.5,29.252889822974083,
D10_H06,20.0,32.00399999999998,42.0
D10_H06,22.5,27.38133333066666,40.0
