scenario,timestr,slot_code,HHMM,V_net_rel,TTT_rel,flow_rel,V_net_mean,TTT_mean,flow_veh_mean
no04,2022/10/18 17:15:00,1715,17:15,0.9923204818959052,1.0094992607387046,1.0008591490376182,26.544519885081428,273016.73,11125.2
no04,2022/10/18 17:30:00,1730,17:30,0.9914977572713626,1.0047073256751744,0.9974221815143031,26.63525313514562,254410.0665,10563.05
no04,2022/10/18 17:45:00,1745,17:45,0.9750816880375002,1.0159964856764523,0.9933741427967662,25.35954305539036,276852.923,10929.45
no04,2022/10/18 18:00:00,1800,18:00,0.9671339127378014,1.0346771292550472,1.0009409645109215,25.23307220112402,280028.949,11222.45
no04,2022/10/18 18:15:00,1815,18:15,0.9603326153716137,1.0412357096494864,1.0008403198072606,26.1514525777464,253224.053,10302.35
no04,2022/10/18 18:30:00,1830,18:30,0.9777385600782353,1.0283602827600289,1.0026065025379105,27.34201202134502,221314.9955,9501.0
no04,2022/10/18 18:45:00,1845,18:45,0.9809676376953379,1.0250287092900199,1.0048366087104266,28.180854123677285,198311.8995,8871.2
no05,2022/10/18 06:30:00,630,06:30,0.9932860245932206,1.0031651670196593,0.9976581093516962,27.790168173747013,169386.51400000002,7859.8
no05,2022/10/18 06:45:00,645,06:45,0.9773273470660024,1.0194283185458966,0.9974152323794837,25.40488623279563,218647.0245,8991.05
no05,2022/10/18 07:00:00,700,07:00,0.9629878304576037,1.0368949319612033,0.9986258420223119,26.85888270437049,208208.535,8902.3
no05,2022/10/18 07:15:00,715,07:15,0.9538666643422865,1.0430355210686117,0.9962905660198815,26.229151844980123,253914.2345,10528.45
no05,2022/10/18 07:30:00,730,07:30,0.9498763265818315,1.0559176385222118,1.0028012436290397,24.5337769203402,292892.246,11401.8
no05,2022/10/18 07:45:00,745,07:45,0.9478611542047155,1.054966186771716,0.9988434354251445,24.785129891924,284253.873,11659.0
no05,2022/10/18 08:00:00,800,08:00,0.9540705054958325,1.0426531614982837,0.997099509147702,23.53739681344718,324251.903,12289.75
no05,2022/10/18 08:15:00,815,08:15,0.9766143663088235,1.03044202504157,1.005994680544462,24.44089077438964,318013.0285,12216.9
no05,2022/10/18 08:30:00,830,08:30,0.9816233161080075,1.018695008831251,1.0001284216588966,24.26176682684748,327092.05100000004,12849.95
no05,2022/10/18 08:45:00,845,08:45,0.9784283624419866,1.022559819046514,1.0018120035643177,24.435225637829078,306035.7755,11748.6
