scenario,link_id,slot_code,HHMM,V_base,V_scen,V_diff
no04,533967_00693_01661_0,1715,17:15,25.401940882567835,25.79825606196517,0.39631517939733385
no04,533967_00693_01661_0,1730,17:30,26.53003363357192,26.282621469045825,-0.2474121645260965
no04,533967_00693_01661_0,1745,17:45,25.829825732785476,25.717193250129917,-0.11263248265555958
no04,533967_00693_01661_0,1800,18:00,26.625550527104263,26.35262903587762,-0.27292149122664355
no04,533967_00693_01661_0,1815,18:15,25.7383831589311,25.600244206950823,-0.13813895198027737
no04,533967_00693_01661_0,1830,18:30,26.79802005390745,26.83998126462101,0.04196121071355918
no04,533967_00693_01661_0,1845,18:45,25.789857213715628,25.694743274275694,-0.0951139394399334
no04,533967_00695_11518_0,630,06:30,50.95549116441132,50.95549116441132,0.0
no04,533967_00695_11518_0,645,06:45,50.9571933936193,50.9571933936193,0.0
no04,533967_00695_11518_0,700,07:00,51.03743027016082,51.03743027016082,0.0
no04,533967_00695_11518_0,715,07:15,50.822354436530375,50.822354436530375,0.0
no04,533967_00695_11518_0,730,07:30,50.89314022789152,50.89314022789152,0.0
no04,533967_00695_11518_0,745,07:45,47.9193507375969,48.48891426356126,0.5695635259643623
no04,533967_00695_11518_0,800,08:00,30.982720486033877,21.028117052550037,-9.95460343348384
no04,533967_00695_11518_0,815,08:15,50.64118799639372,50.64118799639372,0.0
no04,533967_00695_11518_0,830,08:30,41.14982805245319,45.501176105194126,4.3513480527409385
no04,533967_00695_11518_0,845,08:45,48.02254905999376,49.57130429713206,1.5487552371383018
no04,533967_00695_11518_0,900,09:00,50.77202777069479,50.77202777069479,0.0
no04,533967_00695_11518_0,915,09:15,50.01656294503077,47.721729669923285,-2.294833275107486
no04,533967_00695_11518_0,930,09:30,43.35986856448612,41.99433461468746,-1.3655339497986603
no04,533967_00695_11518_0,945,09:45,50.761857154672654,50.761857154672654,0.0
no04,533967_00695_11518_0,1000,10:00,50.534492972279736,50.534492972279736,0.0
no04,533967_00695_11518_0,1015,10:15,50.69980794313963,50.69980794313963,0.0
no04,533967_00695_11518_0,1030,10:30,50.60301487175386,50.60301487175386,0.0
no04,533967_00695_11518_0,1045,10:45,50.65878587743229,50.65878587743229,0.0
no04,533967_00695_11518_0,1100,11:00,50.74851807646007,50.74851807646007,0.0
no04,533967_00695_11518_0,1115,11:15,50.71531709928356,50.71531709928356,0.0
no04,533967_00695_11518_0,1130,11:30,50.73869938590143,50.73869938590143,0.0
no04,533967_00695_11518_0,1145,11:45,50.633823143970986,50.633823143970986,0.0
no04,533967_00695_11518_0,1200,12:00,50.98661236321296,50.98661236321296,0.0
no04,533967_00695_11518_0,1215,12:15,50.87982302114006,50.87982302114006,0.0
no04,533967_00695_11518_0,1230,12:30,50.882750928494815,50.882750928494815,0.0
no04,533967_00695_11518_0,1245,12:45,50.87112724413304,50.87112724413304,0.0
no04,533967_00695_11518_0,1300,13:00,50.55784180213916,50.55784180213916,0.0
no04,533967_00695_11518_0,1315,13:15,50.93767303630882,50.93767303630882,0.0
no04,533967_00695_11518_0,1330,13:30,50.83573028055344,50.83573028055344,0.0
no04,533967_00695_11518_0,1345,13:45,50.8827596513232,50.8827596513232,0.0
no04,533967_00695_11518_0,1400,14:00,50.77222226330756,50.77222226330756,0.0
no04,533967_00695_11518_0,1415,14:15,50.79413442110932,50.79413442110932,0.0
no04,533967_00695_11518_0,1430,14:30,50.68269612047144,50.68269612047144,0.0
no04,533967_00695_11518_0,1445,14:45,50.76921147275569,50.76921147275569,0.0
no04,533967_00695_11518_0,1500,15:00,50.75744384608775,50.75744384608775,0.0
