scenario,link_id,slot_code,HHMM,TTT_base,TTT_scen,TTT_diff
no02,533967_00285_11494_1,1400,14:00,90.5,90.5,0.0
no02,533967_00285_11494_1,1415,14:15,99.05,99.45,0.4000000000000057
no02,533967_00285_11494_1,1430,14:30,139.75,139.5,-0.25
no02,533967_00285_11494_1,1445,14:45,66.69800000000001,66.94800000000001,0.25
no02,533967_00285_11494_1,1500,15:00,99.0,99.0,0.0
no02,533967_00285_11494_1,1515,15:15,65.0,64.201,-0.7990000000000066
no02,533967_00285_11494_1,1530,15:30,70.44800000000001,72.25,1.8019999999999925
no02,533967_00285_11494_1,1545,15:45,79.75,78.25,-1.5
no02,533967_00285_11494_1,1600,16:00,158.5,158.5,0.0
no02,533967_00285_11494_1,1615,16:15,96.75,96.75,0.0
no02,533967_00285_11494_1,1630,16:30,174.25,175.5,1.25
no02,533967_00285_11494_1,1645,16:45,115.5,114.5,-1.0
no02,533967_00285_11494_1,1700,17:00,182.25,182.5,0.25
no02,533967_00285_11494_1,1715,17:15,138.25,138.0,-0.25
no02,533967_00285_11494_1,1730,17:30,100.25,100.25,0.0
no02,533967_00285_11494_1,1745,17:45,104.5,104.5,0.0
no02,533967_00285_11494_1,1800,18:00,136.75,137.0,0.25
no02,533967_00285_11494_1,1815,18:15,73.75,73.5,-0.25
no02,533967_00285_11494_1,1830,18:30,88.5,89.0,0.5
no02,533967_00285_11494_1,1845,18:45,100.5,99.75,-0.75
no02,533967_00285_11497_0,630,06:30,400.218,400.218,0.0
no02,533967_00285_11497_0,645,06:45,330.534,330.534,0.0
no02,533967_00285_11497_0,700,07:00,397.9665,397.9665,0.0
no02,533967_00285_11497_0,715,07:15,295.098,295.081,-0.016999999999995907
no02,533967_00285_11497_0,730,07:30,332.447,331.32550000000003,-1.121499999999969
no02,533967_00285_11497_0,745,07:45,274.2575,273.799,-0.458500000000015
no02,533967_00285_11497_0,800,08:00,398.624,398.4825,-0.14150000000000773
no02,533967_00285_11497_0,815,08:15,553.3675000000001,566.6495,13.281999999999925
no02,533967_00285_11497_0,830,08:30,501.2575,507.8065,6.549000000000035
no02,533967_00285_11497_0,845,08:45,308.48400000000004,310.6535,2.169499999999971
no02,533967_00285_11497_0,900,09:00,326.5075,326.428,-0.07949999999999591
no02,533967_00285_11497_0,915,09:15,219.046,217.147,-1.899000000000001
no02,533967_00285_11497_0,930,09:30,347.3165,348.1825,0.8659999999999854
no02,533967_00285_11497_0,945,09:45,285.895,285.146,-0.7489999999999668
no02,533967_00285_11497_0,1000,10:00,388.52,387.5745,-0.9454999999999814
no02,533967_00285_11497_0,1015,10:15,271.954,275.6825,3.728499999999997
no02,533967_00285_11497_0,1030,10:30,338.4425,340.0345,1.5919999999999845
no02,533967_00285_11497_0,1045,10:45,184.5475,186.0,1.4524999999999864
no02,533967_00285_11497_0,1100,11:00,207.5,207.055,-0.4449999999999932
no02,533967_00285_11497_0,1115,11:15,229.292,229.099,-0.19300000000001205
no02,533967_00285_11497_0,1130,11:30,326.6365,327.2465,0.6100000000000136
no02,533967_00285_11497_0,1145,11:45,201.123,198.919,-2.2039999999999793
no02,533967_00285_11497_0,1200,12:00,199.0,202.746,3.7460000000000093
no02,533967_00285_11497_0,1215,12:15,190.054,186.5,-3.554000000000002
no02,533967_00285_11497_0,1230,12:30,182.919,183.4555,0.5364999999999895
